appointmentId,inspectionStartTime,year,month,engineTransmission_battery_value,engineTransmission_engineoilLevelDipstick_value,engineTransmission_engineOil,engineTransmission_engine_value,engineTransmission_coolant_value,engineTransmission_engineMounting_value,engineTransmission_engineSound_value,engineTransmission_exhaustSmoke_value,engineTransmission_engineBlowByBackCompression_value,engineTransmission_clutch_value,engineTransmission_gearShifting_value,fuel_type,odometer_reading,rating_engineTransmission
aj_01,2019-02-03 15:43:48,2008,8,0,1,0,0,0,0,0,0,0,0,1,Petrol + CNG,0.1246001246001246,3.0
aj_02,2019-01-16 13:02:12,2007,5,1,1,0,0,0,1,0,0,1,1,1,Petrol + CNG,0.07810807810807811,4.0
aj_03,2019-02-09 13:31:04,2012,5,1,1,0,1,0,0,0,0,1,0,1,Diesel,0.09334809334809335,3.5
aj_04,2019-01-18 11:02:53,2013,1,1,1,0,1,0,1,1,1,1,0,1,Petrol + CNG,0.048233048233048234,3.5
aj_05,2019-01-27 12:12:06,2011,7,1,1,0,0,1,0,0,0,1,0,1,Petrol + CNG,0.07436807436807437,4.0
aj_06,2019-01-31 11:53:01,2011,11,1,1,1,0,1,0,0,1,1,1,0,Diesel,0.09191609191609192,3.5
aj_07,2019-04-04 17:00:12,2012,3,1,1,0,1,0,0,0,1,1,0,0,Diesel,0.121006121006121,3.5
aj_08,2019-04-08 12:47:09,2016,2,0,1,1,0,1,0,0,1,1,0,1,Petrol + CNG,0.041534041534041534,4.0
aj_09,2019-01-05 16:09:37,2007,4,1,1,0,0,0,0,0,0,1,0,0,Petrol + CNG,0.1529041529041529,3.0
aj_10,2019-01-06 13:38:10,2011,2,1,1,0,1,1,1,0,1,1,1,1,Diesel,0.09234009234009234,4.0
aj_11,2019-01-02 15:48:54,2011,6,0,1,0,0,0,1,0,1,1,0,1,Petrol + CNG,0.11244111244111245,3.0
aj_12,2019-02-03 17:41:55,2011,3,1,1,0,1,1,0,0,1,1,1,1,Diesel,0.04601304601304601,3.5
aj_13,2019-02-28 12:44:38,2013,6,1,1,1,1,1,1,0,1,1,0,1,Diesel,0.054033054033054036,4.0
aj_14,2019-02-26 14:51:06,2012,11,1,1,0,1,0,1,1,1,1,1,1,Petrol,0.021688021688021687,4.0
aj_15,2019-02-25 16:46:28,2010,12,1,1,1,1,1,1,0,1,1,1,1,Petrol,0.03813303813303813,4.0
